movie_name,n_total,n_pos,n_neu,n_neg,pos_rate,avg_rating
cruella,4,1,2,0,0.25,0.7333333333333333
crush,4,4,0,0,1.0,0.9
cry-baby,1,1,0,0,1.0,0.8
cuties,1,0,0,1,0.0,0.1
câ??mon câ??mon,4,4,0,0,1.0,0.9
d.e.b.s.,2,2,0,0,1.0,0.9
dahmer â?? monster: the jeffrey dahmer story,2,0,2,0,0.0,0.6
dazed and confused,2,2,0,0,1.0,0.9
dead poets society,11,11,0,0,1.0,0.9
dear evan hansen,2,0,0,2,0.0,0.25
death on the nile,4,0,4,0,0.0,0.55
death proof,1,1,0,0,1.0,1.0
decision to leave,3,3,0,0,1.0,0.9
deep water,2,0,0,2,0.0,0.4
diary of a wimpy kid: rodrick rules,2,2,0,0,1.0,0.95
die hard,2,2,0,0,1.0,0.95
dirty dancing,2,1,0,0,0.5,1.0
disenchanted,3,0,1,1,0.0,0.55
disobedience,1,0,0,0,0.0,0.5
django unchained,4,4,0,0,1.0,0.975
do revenge,14,6,4,1,0.42857142857142855,0.7909090909090909
doctor sleep,1,0,0,1,0.0,0.4
doctor strange in the multiverse of madness,16,6,5,4,0.375,0.6466666666666667
dog day afternoon,5,5,0,0,1.0,0.9800000000000001
dogtooth,1,0,1,0,0.0,0.7
don't look up,1,1,0,0,1.0,0.8
don't worry darling,5,2,2,1,0.4,0.64
donnie darko,8,7,1,0,0.875,0.8625
donâ??t look up,12,3,2,5,0.25,0.5
donâ??t worry darling,16,2,2,9,0.125,0.4384615384615385
dr. strangelove or: how i learned to stop worrying and love the bomb,2,2,0,0,1.0,0.85
drive,4,3,1,0,0.75,0.825
drive my car,5,5,0,0,1.0,0.8800000000000001
dune,25,17,6,0,0.68,0.808695652173913
dunkirk,3,1,2,0,0.3333333333333333,0.6666666666666667
easy a,3,3,0,0,1.0,0.8666666666666666
edge of tomorrow,1,1,0,0,1.0,1.0
edward scissorhands,4,4,0,0,1.0,0.9
eighth grade,2,2,0,0,1.0,0.9
el camino: a breaking bad movie,1,1,0,0,1.0,0.9
election,1,1,0,0,1.0,0.8
elf,2,0,2,0,0.0,0.7
elvis,15,6,7,2,0.4,0.7066666666666667
emily the criminal,1,0,1,0,0.0,0.6
emma.,10,2,7,0,0.2,0.7333333333333333
empire records,1,1,0,0,1.0,0.9
encanto,16,11,5,0,0.6875,0.76875
enchanted,2,1,1,0,0.5,0.85
enemy,2,2,0,0,1.0,0.8
enola holmes,5,1,4,0,0.2,0.64
enola holmes 2,3,0,3,0,0.0,0.6333333333333333
enter the void,2,2,0,0,1.0,0.9
entergalactic,3,1,2,0,0.3333333333333333,0.7
eo,1,1,0,0,1.0,0.8
eraserhead,7,5,1,0,0.7142857142857143,0.8666666666666666
eternal sunshine of the spotless mind,6,5,1,0,0.8333333333333334,0.9
eternals,9,3,4,1,0.3333333333333333,0.675
euphoria: f*ck anyone whoâ??s not a sea blob,2,1,0,0,0.5,1.0
euphoria: trouble donâ??t last always,2,2,0,0,1.0,0.95
eurovision song contest: the story of fire saga,1,0,0,1,0.0,0.4
event horizon,1,1,0,0,1.0,0.8
everything everywhere all at once,25,23,2,0,0.92,0.9119999999999999
evil dead ii,5,5,0,0,1.0,0.9199999999999999
ex machina,7,6,1,0,0.8571428571428571,0.8428571428571429
"extremely wicked, shockingly evil and vile",1,0,0,0,0.0,0.5
eyes wide shut,6,4,1,0,0.6666666666666666,0.8800000000000001
f9,2,2,0,0,1.0,0.9
fall,3,0,2,1,0.0,0.4333333333333333
fallen angels,5,5,0,0,1.0,0.9800000000000001
falling for christmas,1,0,0,0,0.0,0.5
fantastic beasts and where to find them,1,0,1,0,0.0,0.6
fantastic beasts: the secrets of dumbledore,1,0,0,1,0.0,0.4
fantastic mr. fox,8,8,0,0,1.0,0.925
fargo,4,4,0,0,1.0,0.975
fear and loathing in las vegas,1,1,0,0,1.0,1.0
fear street: 1666,3,2,1,0,0.6666666666666666,0.9
fear street: 19 6  8,2,1,1,0,0.5,0.8
fear street: 1994,5,1,3,1,0.2,0.6599999999999999
ferris buellerâ??s day off,3,2,1,0,0.6666666666666666,0.8666666666666666
fifty shades of grey,1,0,0,1,0.0,0.3
fight club,10,9,1,0,0.9,0.9099999999999999
finding nemo,1,1,0,0,1.0,0.9
fire of love,3,1,2,0,0.3333333333333333,0.7333333333333333
first reformed,5,5,0,0,1.0,0.8800000000000001
five feet apart,1,0,0,0,0.0,0.5
folklore: the long pond studio sessions,1,0,0,0,0.0,0.5
ford v ferrari,1,1,0,0,1.0,0.8
four weddings and a funeral,2,1,1,0,0.5,0.75
