movie_name,review_anger,review_fear,review_sadness,review_joy,review_disgust,review_surprise,review_trust,review_anticipation,summary_anger,summary_fear,summary_sadness,summary_joy,summary_disgust,summary_surprise,summary_trust,summary_anticipation,combined_anger,combined_fear,combined_sadness,combined_joy,combined_disgust,combined_surprise,combined_trust,combined_anticipation
the big country,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the big easy,11.0,13.0,5.0,1.0,4.0,0.0,6.0,1.0,11.0,13.0,5.0,1.0,4.0,0.0,6.0,1.0,11.0,13.0,5.0,1.0,4.0,0.0,6.0,1.0
the big fix,1.0,3.0,0.0,2.0,3.0,1.0,3.0,4.0,1.0,3.0,0.0,2.0,3.0,1.0,3.0,4.0,1.0,3.0,0.0,2.0,3.0,1.0,3.0,4.0
the big hit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the big kahuna,0.0,0.0,1.0,3.0,0.0,3.0,4.0,5.0,0.0,0.0,1.0,3.0,0.0,3.0,4.0,5.0,0.0,0.0,1.0,3.0,0.0,3.0,4.0,5.0
the big lebowski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.8,1.6,0.8,0.8,0.8,0.8,0.8,0.8
the big picture,1.5,2.0,1.5,4.5,1.5,2.0,4.5,5.5,1.5,2.0,1.5,4.5,1.5,2.0,4.5,5.5,1.5,2.0,1.5,4.5,1.5,2.0,4.5,5.5
the big risk,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
the big short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0,0.4,0.0,0.8,0.0
the big sick,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,3.0,1.0,1.0,5.0,7.0,1.0,2.6,1.8000000000000003,1.2000000000000002,1.0,0.4,2.0,2.8000000000000003
the big town,0.0,0.0,2.0,5.0,4.0,4.0,3.0,3.0,0.0,0.0,2.0,5.0,4.0,4.0,3.0,3.0,0.0,0.0,2.0,5.0,4.0,4.0,3.0,3.0
the big uneasy,2.0,6.0,4.0,0.0,4.0,1.0,6.0,2.0,2.0,6.0,4.0,0.0,4.0,1.0,6.0,2.0,2.0,6.0,4.0,0.0,4.0,1.0,6.0,2.0
the big wedding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
the big year,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
