movie_name,summary
close-up,fiction documentary hybrid us real life sensational event young man arrested charge fraudulently impersonated well known filmmaker mohsen makhmalbaf basis stunning multi layered investigation movie identity artistic creation life universal theme fascinating narrative knot close continues resonate viewer around world janus film
the class,fran ois fellow teacher prepare new year high school tough neighborhood armed best intention brace let discouragement stop trying give best education student culture attitude often clash classroom microcosm contemporary france amusing inspiring teenaged student difficult behavior still jeopardize teacher enthusiasm low paying job fran ois insists atmosphere respect diligence neither stuffy severe extravagant frankness often take student surprise classroom ethic put test student begin challenge method sony classic
platoon,young recruit vietnam face moral crisis confronted horror war duality man
no country for old men,time rustler given way drug runner small town become free fire zone story begin llewelyn moss find pickup truck surrounded sentry dead men load heroin million dollar cash still back moss take money set chain reaction catastrophic violence even law person aging disillusioned sheriff bell contain moss try evade pursuer particular mysterious mastermind flip coin human life film simultaneously strip american crime drama broadens concern encompass theme ancient bible bloodily contemporary morning headline miramax
35 shots of rum,widowed conductor looking forward retirement life grown daughter paris suburb neighbor start show interest little girl conductor try adjust
tár,set international world classical music r examines changing nature power impact durability modern world life iconic musician lydia r cate blanchett first ever female chief conductor major german orchestra
apocalypse now: final cut,francis ford coppola masterful vietnam war epic previously expanded apocalypse redux adding back minute excised footage version film clock midway two prior release including added footage addition entire film remastered k
chinatown,jack nicholson private eye jake gittes living murky moral climate sunbaked pre war southern california hired beautiful socialite investigate husband extramarital affair gittes swept maelstrom double dealing deadly deceit uncovering web personal political scandal come crashing together one unforgettable night chinatown paramount
the florida project,six year old moonee brooklynn prince rebellious mother halley bria vinaite live week week magic castle budget motel managed bobby willem dafoe whose stern exterior hide deep reservoir kindness compassion despite harsh surroundings precocious ebullient moonee trouble making day celebration life endless afternoon overflowing mischief grand adventure ragtag playmate including jancey new arrival area quickly becomes moonee best friend fearlessly explore utterly unique world thrown unbeknownst moonee however delicate fantasy supported toil sacrifice halley forced explore increasingly dangerous possibility order provide daughter
timbuktu,far timbuktu ruled religious fundamentalist kidane life peacefully dune wife satima daughter toya issan twelve year old shepherd town people suffer powerless regime terror imposed jihadist determined control faith music laughter cigarette even soccer banned woman become shadow resist dignity every day new improvised court issue tragic absurd sentence kidane family spared chaos prevails timbuktu destiny change kidane accidentally kill amadou fisherman slaughtered beloved cow face new law foreign occupant
frenzy,serial murderer strangling woman necktie london police suspect wrong man
brief encounter,meeting stranger railway station woman tempted cheat husband
cool hand luke,luke jackson paul newman arrested drunkenly vandalizing parking meter sentenced serve time prison chain gang although warden guard prisoner try break luke spirit upon arrival soon becomes clear luke play anyone else rule eventually earns respect fellow inmate refusing back fight earns friendship figuring way get hard labor done half time luke eventually becomes symbol hope resilience fellow prisoner becomes revered inmate becomes symbol rebelliousness must stamped captain strother martin warner bros
little women,chronicle life group sister growing nineteenth century america
maborosi,young woman husband apparently commits suicide without warning reason leaving behind wife infant yumiko remarries move osaka small fishing village yet continues search meaning lonely world
no bears,two parallel love story partner thwarted hidden inevitable obstacle force superstition mechanic power
top hat,american dancer come britain fall model initially annoyed mistake goofy producer
apocalypse now redux,vietnam war captain willard sent dangerous mission cambodia assassinate renegade colonel set god among local tribe
never rarely sometimes always,faced unintended pregnancy lack local support autumn sidney flanigan cousin skylar talia ryder embark across state line new york city fraught journey friendship bravery compassion
annie hall,woody allen portrays neurotic highly insecure indecisive comedy writer fall head heel love naive small town girl aspires singer opening round relationship involve every romantic cliche despite moved together insecurity get best interprets every move rejection self confidence grows progressively fade oddball romance survive
the lord of the rings: the fellowship of the ring,epic adventure good evil story power friendship individual courage heroic quest pave way emergence mankind j r r tolkien master work brought cinematic life new line cinema
quiz show,fact based film tell story behind quiz show scandal focusing twenty one champion charles van doren fiennes
leviathan,kolia life small town near barents sea north russia auto repair shop shop stand right next house life young wife lilya son previous marriage vadim shelevyat mayor town want take away business house land first try buying kolia kolia cannot stand losing everything land also beauty surrounded day birth vadim shelevyat start aggressive
werckmeister harmonies,based l szl krasznahorkai novel melancholy resistance uncanny fable powerlessness tyranny set small hungarian village moment great crisis mysterious circus come town giant whale news appearance prince known strange power soon local emotion stirred fever pitch anticipation anthology film archive
le cercle rouge,corey alain delon aristocratic thief released prison day vogel gian maria volont murderer escape custody mattei bourvil cat loving police superintendent corey robs rico andr ekyan mob bos enlists vogel ex police sharpshooter jansen yves montand jewel heist corey harried vengeful rico mattei pressure santi nightclub owner pimp help trap thief
toy story 3,toy story comical new adventure disney digital land toy room full untamed tot wait get sticky little finger new toy pandemonium try stay together ensuring toy get left behind meanwhile barbie come face plastic face ken yes ken disney pixar
the souvenir,shy ambitious film student honor swinton byrne begin find voice artist navigating turbulent courtship charismatic untrustworthy man tom burke defies protective mother tilda swinton concerned friend slip deeper deeper intense emotionally fraught relationship come dangerously close destroying dream
this is spinal tap,spinal tap one england loudest band chronicled film director marty dibergi prof fateful tour
the look of silence,look silence joshua oppenheimer powerful companion piece oscar nominated act killing oppenheimer footage perpetrator indonesian genocide family survivor discovers son murdered well identity killer documentary focus youngest son optometrist named adi decides break suffocating spell submission terror something unimaginable society murderer remain power confronts men killed brother testing eyesight asks accept responsibility action
tower,august day innocence shattered sniper rode elevator top floor iconic university texas tower opened fire holding campus hostage minute previously unimaginable event tower combine archival footage rotoscopic animation dramatic day based entirely first person testimony witness hero survivor seamless suspenseful retelling unfolding tragedy film highlight fear confusion visceral reality changed life present rest u forever day worst one man brought best many others
drive my car,two year wife unexpected death yusuke kafuku hidetoshi nishijima renowned stage actor director receives offer direct production uncle vanya theater festival hiroshima meet misaki watari toko miura taciturn young woman assigned festival chauffeur beloved red saab production premiere approach tension mount amongst cast crew least yusuke koji takatsuki handsome tv star share unwelcome connection yusuke late wife forced confront painful truth raised past yusuke begin help driver face haunting mystery wife left behind adapted haruki murakami short story janus film
moolaadé,rousing polemic directed still common african practice female circumcision moolaad set small african village four young girl facing ritual purification flee household coll ardo gallo sy strong willed woman managed shield teenage daughter mutilation coll invokes time honored custom moolaad sanctuary protect fugitive tension mount ensuing stand pit coll village traditionalist male female endangers prospective marriage daughter heir apparent tribal throne new yorker film
atanarjuat: the fast runner,evil form unknown shaman divide small community nomadic inuit upsetting balance spirit twenty year pas two brother emerge challenge evil order amaqjuaq strong one atanarjuat fast runner lot film
l.a. confidential,based james ellroy novel movie industry corrupt cop tabloid journalism gangster sexual obsession every stripe l confidential set los angeles
ikiru,bureaucrat try find meaning life discovers terminal cancer
time,fox rich fighter entrepreneur abolitionist mother six boy spent last two decade campaigning release husband rob g rich serving year sentence robbery committed early moment desperation combining video diary fox recorded rob year intimate glimpse present day life director garrett bradley paint mesmerizing portrait resilience radical love necessary prevail endless separation country prison industrial complex
gavagai,german businessman carsten neuer travel norway finish impossible translation norwegian poem tarjei vesaas chinese project late wife hire niko luck tour guide drive poet home place inspiration stimulate translation road ghost carsten wife appears niko struggle sudden consequence girlfriend pregnancy journey two different men come realize transforming power love limit language human need friendship
the man who would be king,two british former soldier decide set king kafiristan land white man set foot since alexander great
nomadland,following economic collapse company town rural nevada fern france mcdormand pack van set road exploring life outside conventional society modern day nomad
a bread factory part two: walk with me a while,bread factory rehearse greek play hecuba real theatrics outside theater town invaded bizarre tourist mysterious tech start worker new normal checkford even really checkford longer
the killing,crook johnny clay assembles five man team plan execute daring race track robbery
swing time,performer gambler travel new york city raise need marry fianc e become entangled beautiful aspiring dancer
breaking away,small town boy obsessed italian cycling team vies affection college girl
blue jean,england margaret thatcher conservative government pas law stigmatising gay lesbian forcing jean pe teacher live double life pressure mount side arrival new girl school catalysis crisis challenge jean core
stories we tell,director sarah polley look past excavates layer myth memory find elusive truth core family storyteller
