movie_name,n_total,n_pos,n_neu,n_neg,pos_rate,avg_rating
a week away,1,0,0,0,0.0,0.5
a whale of a tale,1,0,0,0,0.0,0.5
a white white day,1,0,0,0,0.0,0.5
a wolf at the door,1,0,0,0,0.0,0.5
a woman a gun and a noodle shop,1,0,0,0,0.0,0.5
a woman a part,1,0,0,0,0.0,0.5
a woman in berlin,1,0,0,0,0.0,0.5
a woman is a woman,1,0,0,0,0.0,0.5
a woman under the influence,1,0,0,0,0.0,0.5
a womans life,1,0,0,0,0.0,0.5
a wounded fawn,1,0,0,0,0.0,0.5
a wrinkle in time,1,0,0,0,0.0,0.5
a year without love,1,0,0,0,0.0,0.5
aardvark,1,0,0,0,0.0,0.5
abacus small enough to jail,1,0,0,0,0.0,0.5
abandon,1,0,0,0,0.0,0.5
abandoned,1,0,0,0,0.0,0.5
abattoir,1,0,0,0,0.0,0.5
abc africa,1,0,0,0,0.0,0.5
abcs of death 2,1,0,0,0,0.0,0.5
abduction,1,0,0,0,0.0,0.5
abe,1,0,0,0,0.0,0.5
aberdeen,1,0,0,0,0.0,0.5
abigail harm,1,0,0,0,0.0,0.5
abominable,1,0,0,0,0.0,0.5
abortion stories women tell,1,0,0,0,0.0,0.5
about a boy,1,0,0,0,0.0,0.5
about adam,1,0,0,0,0.0,0.5
about alex,1,0,0,0,0.0,0.5
about cherry,1,0,0,0,0.0,0.5
about endlessness,1,0,0,0,0.0,0.5
about last night,2,0,0,0,0.0,0.5
about schmidt,1,0,0,0,0.0,0.5
about time,5,3,2,0,0.6,0.82
above and beyond,1,0,0,0,0.0,0.5
above suspicion,1,0,0,0,0.0,0.5
above the law,1,0,0,0,0.0,0.5
abraham lincoln vampire hunter,1,0,0,0,0.0,0.5
absence of malice,1,0,0,0,0.0,0.5
absolute beginners,1,0,0,0,0.0,0.5
absolute power,1,0,0,0,0.0,0.5
absolute wilson,1,0,0,0,0.0,0.5
absolutely fabulous the movie,1,0,0,0,0.0,0.5
abundant acreage available,1,0,0,0,0.0,0.5
acasa my home,1,0,0,0,0.0,0.5
accepted,1,0,0,0,0.0,0.5
accidental courtesy daryl davis race  america,1,0,0,0,0.0,0.5
accidental love,1,0,0,0,0.0,0.5
ace ventura pet detective,1,0,0,0,0.0,0.5
ace ventura when nature calls,1,0,0,0,0.0,0.5
acod,1,0,0,0,0.0,0.5
action point,1,0,0,0,0.0,0.5
active measures,1,0,0,0,0.0,0.5
