movie_name,review_anger,review_fear,review_sadness,review_joy,review_disgust,review_surprise,review_trust,review_anticipation,summary_anger,summary_fear,summary_sadness,summary_joy,summary_disgust,summary_surprise,summary_trust,summary_anticipation,combined_anger,combined_fear,combined_sadness,combined_joy,combined_disgust,combined_surprise,combined_trust,combined_anticipation
mosquito state,2.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0
most beautiful island,2.0,3.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,4.0
most wanted,2.0,5.0,3.0,3.0,0.0,1.0,4.0,3.0,2.0,5.0,3.0,3.0,0.0,1.0,4.0,3.0,2.0,5.0,3.0,3.0,0.0,1.0,4.0,3.0
mostly martha,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
motel hell,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
mother,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.5,0.5,0.3333333333333333,1.6666666666666667,3.0,4.333333333333333,3.6666666666666665,1.3333333333333333,1.3333333333333333,3.3333333333333335,3.3333333333333335,0.9666666666666668,1.3000000000000003,1.9333333333333333,1.7666666666666668,0.6333333333333333,0.8333333333333333,1.6333333333333335,1.5333333333333334
mother of tears,7.0,7.0,13.0,8.0,5.0,4.0,8.0,7.0,7.0,7.0,13.0,8.0,5.0,4.0,8.0,7.0,7.0,7.0,13.0,8.0,5.0,4.0,8.0,7.0
mother schmuckers,3.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0
motherandroid,0.0,3.0,1.0,5.0,0.0,1.0,4.0,5.0,0.0,3.0,1.0,5.0,0.0,1.0,4.0,5.0,0.0,3.0,1.0,5.0,0.0,1.0,4.0,5.0
motherhood,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
mothering sunday,0.0,0.0,1.0,8.0,1.0,1.0,7.0,5.0,0.0,0.0,1.0,8.0,1.0,1.0,7.0,5.0,0.0,0.0,1.0,8.0,1.0,1.0,7.0,5.0
motherless brooklyn,2.0,4.0,3.0,3.0,3.0,1.0,8.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,8.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,8.0,2.0
mothers and daughters,0.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0
mothers day,2.0,2.0,5.0,6.5,0.5,2.5,7.5,6.5,2.0,2.0,5.0,6.5,0.5,2.5,7.5,6.5,2.0,2.0,5.0,6.5,0.5,2.5,7.5,6.5
moulin rouge,1.0,0.75,0.75,0.25,0.75,0.5,1.0,0.75,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.6,0.85,0.44999999999999996,0.9500000000000001,0.44999999999999996,0.7,0.6,0.85
mountain,2.0,2.0,3.0,2.0,1.0,1.0,3.0,9.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,9.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,9.0
mountain patrol,2.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0
mousehunt,1.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0
movie 43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moving,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
moving midway,0.0,2.0,1.0,5.0,0.0,3.0,2.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,2.0,7.0,0.0,2.0,1.0,5.0,0.0,3.0,2.0,7.0
moving on,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0
mowgli legend of the jungle,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0
moxie,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.6,0.0,0.4,0.6,0.4,0.19999999999999998,1.2000000000000002,0.4
mr  mrs smith,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,0.0,3.0,1.0,1.4,1.2000000000000002,1.2000000000000002,1.0,1.4,0.0,1.2000000000000002,0.4
mr 3000,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
mr bachmann and his class,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
mr beans vacation,2.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0
mr brooks,0.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0
mr church,0.0,1.0,2.0,4.0,0.0,0.0,5.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,5.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,5.0,4.0
mr death the rise and fall of fred a leuchter jr,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
mr deeds,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0
mr destiny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr gaga,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0
mr harrigans phone,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
mr hollands opus,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
mr jealousy,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
mr jones,1.0,1.5,1.0,1.5,1.0,1.5,2.0,3.0,1.0,1.5,1.0,1.5,1.0,1.5,2.0,3.0,1.0,1.5,1.0,1.5,1.0,1.5,2.0,3.0
mr magoo,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
mr majestyk,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
mr malcolms list,1.0,0.0,1.0,5.0,1.0,1.0,5.0,3.0,1.0,0.0,1.0,5.0,1.0,1.0,5.0,3.0,1.0,0.0,1.0,5.0,1.0,1.0,5.0,3.0
mr mom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
